Menu Handle,Menu Item Title,Menu Item Type,Menu Item URL,Parent Menu Item Title
main-menu,PCB,collection,/collections/pcb,Control Boards & Sensors
main-menu,Photo Sensor,collection,/collections/photo-sensor,Control Boards & Sensors
main-menu,Position Sensor,collection,/collections/position-sensor,Control Boards & Sensors
main-menu,Pressure Switch,collection,/collections/pressure-switch,Control Boards & Sensors
main-menu,Probe,collection,/collections/probe,Control Boards & Sensors
main-menu,Proximity Sensor,collection,/collections/proximity-sensor,Control Boards & Sensors
main-menu,Sensor,collection,/collections/sensor,Control Boards & Sensors
main-menu,Speed Control,collection,/collections/speed-control,Control Boards & Sensors
main-menu,Temp Control,collection,/collections/temp-control,Control Boards & Sensors
main-menu,Thermocouple,collection,/collections/thermocouple,Control Boards & Sensors
main-menu,Thermometers,collection,/collections/thermometers,Control Boards & Sensors
main-menu,Thermopile,collection,/collections/thermopile,Control Boards & Sensors
main-menu,Thermostat,collection,/collections/thermostat,Control Boards & Sensors
main-menu,Timer,collection,/collections/timer,Control Boards & Sensors
main-menu,Transducer,collection,/collections/transducer,Control Boards & Sensors
main-menu,Ballast,collection,/collections/ballast,Electrical & Electronic Components
main-menu,Buzzer,collection,/collections/buzzer,Electrical & Electronic Components
main-menu,Cable,collection,/collections/cable,Electrical & Electronic Components
main-menu,Capacitor,collection,/collections/capacitor,Electrical & Electronic Components
main-menu,Coil,collection,/collections/coil,Electrical & Electronic Components
main-menu,Connector,collection,/collections/connector,Electrical & Electronic Components
main-menu,Contactor,collection,/collections/contactor,Electrical & Electronic Components
main-menu,Diode,collection,/collections/diode,Electrical & Electronic Components
main-menu,Display,collection,/collections/display,Electrical & Electronic Components
main-menu,Door Switch,collection,/collections/door-switch,Electrical & Electronic Components
main-menu,Fuse,collection,/collections/fuse,Electrical & Electronic Components
main-menu,Indicator,collection,/collections/indicator,Electrical & Electronic Components
main-menu,Inductor,collection,/collections/inductor,Electrical & Electronic Components
main-menu,Lamp,collection,/collections/lamp,Electrical & Electronic Components
main-menu,Lamp Holder,collection,/collections/lamp-holder,Electrical & Electronic Components
main-menu,Light,collection,/collections/light,Electrical & Electronic Components
main-menu,Magnet Switch,collection,/collections/magnet-switch,Electrical & Electronic Components
main-menu,Magnetron,collection,/collections/magnetron,Electrical & Electronic Components
main-menu,Plug,collection,/collections/plug,Electrical & Electronic Components
main-menu,Potentiometer,collection,/collections/potentiometer,Electrical & Electronic Components
main-menu,Power Cord,collection,/collections/power-cord,Electrical & Electronic Components
main-menu,Relay,collection,/collections/relay,Electrical & Electronic Components
main-menu,Resistor,collection,/collections/resistor,Electrical & Electronic Components
main-menu,Rocker Switch,collection,/collections/rocker-switch,Electrical & Electronic Components
main-menu,Socket,collection,/collections/socket,Electrical & Electronic Components
main-menu,Speaker,collection,/collections/speaker,Electrical & Electronic Components
main-menu,Switch,collection,/collections/switch,Electrical & Electronic Components
main-menu,Terminal,collection,/collections/terminal,Electrical & Electronic Components
main-menu,Transformer,collection,/collections/transformer,Electrical & Electronic Components
main-menu,Wire,collection,/collections/wire,Electrical & Electronic Components
main-menu,Boiler,collection,/collections/boiler,"Heating, Ignition & Gas Parts"
main-menu,Burner,collection,/collections/burner,"Heating, Ignition & Gas Parts"
main-menu,Ceramic Heater,collection,/collections/ceramic-heater,"Heating, Ignition & Gas Parts"
main-menu,Electrode,collection,/collections/electrode,"Heating, Ignition & Gas Parts"
main-menu,Flame Rod,collection,/collections/flame-rod,"Heating, Ignition & Gas Parts"
main-menu,Flame Sensor,collection,/collections/flame-sensor,"Heating, Ignition & Gas Parts"
main-menu,Gas Regulator,collection,/collections/gas-regulator,"Heating, Ignition & Gas Parts"
main-menu,Gas Tube,collection,/collections/gas-tube,"Heating, Ignition & Gas Parts"
main-menu,Gas Valve,collection,/collections/gas-valve,"Heating, Ignition & Gas Parts"
main-menu,Heat Exchanger,collection,/collections/heat-exchanger,"Heating, Ignition & Gas Parts"
main-menu,Heater,collection,/collections/heater,"Heating, Ignition & Gas Parts"
main-menu,Heater Element,collection,/collections/heater-element,"Heating, Ignition & Gas Parts"
main-menu,Heating Plate,collection,/collections/heating-plate,"Heating, Ignition & Gas Parts"
main-menu,Ignitor,collection,/collections/ignitor,"Heating, Ignition & Gas Parts"
main-menu,Infrared Heater,collection,/collections/infrared-heater,"Heating, Ignition & Gas Parts"
main-menu,Main Gas,collection,/collections/main-gas,"Heating, Ignition & Gas Parts"
main-menu,Oven Burner,collection,/collections/oven-burner,"Heating, Ignition & Gas Parts"
main-menu,Piezo,collection,/collections/piezo,"Heating, Ignition & Gas Parts"
main-menu,Pilot,collection,/collections/pilot,"Heating, Ignition & Gas Parts"
main-menu,Pilot Assembly,collection,/collections/pilot-assembly,"Heating, Ignition & Gas Parts"
main-menu,Pilot Burner,collection,/collections/pilot-burner,"Heating, Ignition & Gas Parts"
main-menu,Pilot Injector,collection,/collections/pilot-injector,"Heating, Ignition & Gas Parts"
main-menu,Pilot Valve,collection,/collections/pilot-valve,"Heating, Ignition & Gas Parts"
main-menu,Quartz Tube,collection,/collections/quartz-tube,"Heating, Ignition & Gas Parts"
main-menu,Quartz Tube Heater,collection,/collections/quartz-tube-heater,"Heating, Ignition & Gas Parts"
main-menu,Spark Plug,collection,/collections/spark-plug,"Heating, Ignition & Gas Parts"
main-menu,Temperature Sensor,collection,/collections/temperature-sensor,"Heating, Ignition & Gas Parts"
main-menu,Thermal Fuse,collection,/collections/thermal-fuse,"Heating, Ignition & Gas Parts"
main-menu,Thermo Fuse,collection,/collections/thermo-fuse,"Heating, Ignition & Gas Parts"
main-menu,Thermostat Rod,collection,/collections/thermostat-rod,"Heating, Ignition & Gas Parts"
main-menu,Adapter,collection,/collections/adapter,Mechanical & Mounting Hardware
main-menu,Adjuster,collection,/collections/adjuster,Mechanical & Mounting Hardware
main-menu,Bearing Housing,collection,/collections/bearing-housing,Mechanical & Mounting Hardware
main-menu,Bolt,collection,/collections/bolt,Mechanical & Mounting Hardware
main-menu,Bracket,collection,/collections/bracket,Mechanical & Mounting Hardware
main-menu,Bushing,collection,/collections/bushing,Mechanical & Mounting Hardware
main-menu,Clamp,collection,/collections/clamp,Mechanical & Mounting Hardware
main-menu,Clip,collection,/collections/clip,Mechanical & Mounting Hardware
main-menu,Coupler Shaft,collection,/collections/coupler-shaft,Mechanical & Mounting Hardware
main-menu,Fastener,collection,/collections/fastener,Mechanical & Mounting Hardware
main-menu,Frame,collection,/collections/frame,Mechanical & Mounting Hardware
main-menu,Guide Rail,collection,/collections/guide-rail,Mechanical & Mounting Hardware
main-menu,Hinge,collection,/collections/hinge,Mechanical & Mounting Hardware
main-menu,Holder,collection,/collections/holder,Mechanical & Mounting Hardware
main-menu,Hook,collection,/collections/hook,Mechanical & Mounting Hardware
main-menu,Joint,collection,/collections/joint,Mechanical & Mounting Hardware
main-menu,Lever,collection,/collections/lever,Mechanical & Mounting Hardware
main-menu,Lock Nut,collection,/collections/lock-nut,Mechanical & Mounting Hardware
main-menu,Mount,collection,/collections/mount,Mechanical & Mounting Hardware
main-menu,Nut,collection,/collections/nut,Mechanical & Mounting Hardware
main-menu,Pin,collection,/collections/pin,Mechanical & Mounting Hardware
main-menu,Plate,collection,/collections/plate,Mechanical & Mounting Hardware
main-menu,Retainer,collection,/collections/retainer,Mechanical & Mounting Hardware
main-menu,Ring,collection,/collections/ring,Mechanical & Mounting Hardware
main-menu,Screw,collection,/collections/screw,Mechanical & Mounting Hardware
main-menu,Spacer,collection,/collections/spacer,Mechanical & Mounting Hardware
main-menu,Spring Mount,collection,/collections/spring-mount,Mechanical & Mounting Hardware
main-menu,Stopper,collection,/collections/stopper,Mechanical & Mounting Hardware
main-menu,Support,collection,/collections/support,Mechanical & Mounting Hardware
main-menu,Washer,collection,/collections/washer,Mechanical & Mounting Hardware
main-menu,Actuator,collection,/collections/actuator,"Motors, Fans & Actuators"
